DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
n2;[2];[30];[1];[2];[0];n2;[1];[20];[1];[2];[0]
n2;[2];[40];[1];[2];[0];n2;[1];[20];[1];[2];[0]
n5;[2];[30];[1];[2];[0];n5;[1];[20];[1];[2];[0]
n30;[2];[40];[1];[2];[0];n30;[1];[20];[1];[2];[0]
n48;[4];[100];[2];[2];[1];n48;[1];[100];[2];[2];[1]
n48;[4];[100];[2];[2];[1];n48;[2];[100];[2];[2];[1]
n66;[2];[30];[1];[2];[0];n66;[1];[20];[1];[2];[0]
n66;[2];[40];[1];[2];[0];n66;[1];[20];[1];[2];[0]
n66;[4];[25];[2];[2];[0];n66;[1];[40];[1];[2];[0]
n77;[4];[80];[2];[2];[1];n77;[1];[80];[2];[2];[0]
n77;[4];[80];[2];[2];[1];n77;[2];[80];[2];[2];[0]
n77;[4];[100];[2];[2];[1];n77;[2];[100];[2];[2];[1]
n2_n2;[2, 2];[30, 30];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n2;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n5;[2, 2];[30, 30];[1, 1];[2, 2];[0, 0];n5;[1];[20];[1];[2];[0]
n2_n5;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n5;[1];[20];[1];[2];[0]
n2_n66;[2, 2];[30, 30];[1, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n2_n66;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n2_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n2_n77;[2, 4];[30, 80];[1, 2];[2, 2];[0, 1];n77;[1];[80];[2];[2];[0]
n2_n77;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];n77;[1];[80];[2];[2];[0]
n2_n77;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n77;[2];[100];[2];[2];[1]
n2_n5;[2, 2];[30, 30];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n5;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n66;[2, 2];[30, 30];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n66;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n77;[2, 4];[30, 80];[1, 2];[2, 2];[0, 1];n2;[1];[20];[1];[2];[0]
n2_n77;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];n2;[1];[20];[1];[2];[0]
n2_n77;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n2;[1];[20];[1];[2];[0]
n2_n30;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n30;[1];[20];[1];[2];[0]
n2_n30;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];n30;[1];[20];[1];[2];[0]
n2_n30;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n2_n30;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];n2;[1];[20];[1];[2];[0]
n5_n30;[2, 2];[30, 40];[1, 1];[2, 2];[0, 0];n30;[1];[20];[1];[2];[0]
n5_n66;[2, 2];[30, 30];[1, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n5_n66;[2, 2];[30, 40];[1, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n5_n66;[2, 4];[30, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n5_n77;[2, 4];[30, 80];[1, 2];[2, 2];[0, 1];n77;[1];[80];[2];[2];[0]
