DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n1,2,30,1,2,0,n1,1,20,1,2,0
n1,2,40,1,2,0,n1,1,20,1,2,0
n3,2,30,1,2,0,n3,1,20,1,2,0
n3,2,40,1,2,0,n3,1,20,1,2,0
n3,4,25,2,2,0,n3,1,40,1,2,0
n7,4,25,2,2,0,n7,1,40,1,2,0
n7,2,30,2,2,0,n7,1,50,1,2,0
n8,2,10,1,2,0,n8,1,10,1,2,0
n20,2,10,1,2,0,n20,1,10,1,2,0
n28,2,10,1,2,0,n28,1,10,1,2,0
n28,2,30,1,2,0,n28,1,20,1,2,0
n78,4,80,2,2,1,n78,1,80,2,2,0
n78,4,80,2,2,1,n78,2,80,2,2,0
n78,4,100,2,2,1,n78,2,100,2,2,1
n1_n3,2;2,30;30,1;1,2;2,0;0,n3,1,20,1,2,0
n1_n3,2;2,40;40,1;1,2;2,0;0,n3,1,20,1,2,0
n1_n3,2;4,40;25,1;2,2;2,0;0,n3,1,40,1,2,0
n1_n7,2;2,30;25,1;2,2;2,0;0,n7,1,40,1,2,0
n1_n7,2;2,40;25,1;2,2;2,0;0,n7,1,40,1,2,0
n1_n7,2;4,40;25,1;2,2;2,0;0,n7,1,40,1,2,0
n1_n7,2;2,40;30,1;2,2;2,0;0,n7,1,50,1,2,0
n1_n8,2;2,30;10,1;1,2;2,0;0,n8,1,10,1,2,0
n1_n8,2;2,40;10,1;1,2;2,0;0,n8,1,10,1,2,0
n1_n28,2;2,30;10,1;1,2;2,0;0,n28,1,10,1,2,0
n1_n28,2;2,40;10,1;1,2;2,0;0,n28,1,10,1,2,0
n1_n28,2;2,40;30,1;1,2;2,0;0,n28,1,20,1,2,0
n1_n78,2;4,30;80,1;2,2;2,0;1,n78,1,80,2,2,0
n1_n78,2;4,40;80,1;2,2;2,0;1,n78,1,80,2,2,0
n1_n78,2;4,40;100,1;2,2;2,0;1,n78,2,100,2,2,1
n1_n3,2;2,30;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n3,2;2,40;40,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n3,2;4,40;25,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;2,30;25,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;2,40;25,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;4,40;25,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n7,2;2,40;30,1;2,2;2,0;0,n1,1,20,1,2,0
n1_n8,2;2,30;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n8,2;2,40;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n28,2;2,30;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n28,2;2,40;10,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n28,2;2,40;30,1;1,2;2,0;0,n1,1,20,1,2,0
n1_n78,2;4,30;80,1;2,2;2,0;1,n1,1,20,1,2,0
n1_n78,2;4,40;80,1;2,2;2,0;1,n1,1,20,1,2,0
n1_n78,2;4,40;100,1;2,2;2,0;1,n1,1,20,1,2,0
n3_n8,2;2,30;10,1;1,2;2,0;0,n8,1,10,1,2,0
n3_n8,2;2,40;10,1;1,2;2,0;0,n8,1,10,1,2,0
n3_n8,4;2,25;10,2;1,2;2,0;0,n8,1,10,1,2,0
n3_n28,2;2,30;10,1;1,2;2,0;0,n28,1,10,1,2,0
n3_n28,2;2,40;10,1;1,2;2,0;0,n28,1,10,1,2,0
n3_n28,4;2,25;30,2;1,2;2,0;0,n28,1,20,1,2,0
n3_n78,2;4,30;80,1;2,2;2,0;1,n78,1,80,2,2,0
n3_n78,2;4,40;80,1;2,2;2,0;1,n78,1,80,2,2,0
n3_n78,4;4,25;100,2;2,2;2,0;1,n78,2,100,2,2,1
n3_n8,2;2,30;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n8,2;2,40;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n8,4;2,25;10,2;1,2;2,0;0,n3,1,40,1,2,0
n3_n28,2;2,30;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n28,2;2,40;10,1;1,2;2,0;0,n3,1,20,1,2,0
n3_n28,4;2,25;30,2;1,2;2,0;0,n3,1,40,1,2,0
n3_n78,2;4,30;80,1;2,2;2,0;1,n3,1,20,1,2,0
n3_n78,2;4,40;80,1;2,2;2,0;1,n3,1,20,1,2,0
n3_n78,4;4,25;100,2;2,2;2,0;1,n3,1,40,1,2,0
n7_n78,4;4,25;80,2;2,2;2,0;1,n78,1,80,2,2,0
n7_n78,2;4,30;100,2;2,2;2,0;1,n78,2,100,2,2,1
n7_n78,4;4,25;80,2;2,2;2,0;1,n7,1,40,1,2,0
n7_n78,2;4,30;100,2;2,2;2,0;1,n7,1,50,1,2,0
n8_n78,2;4,10;80,1;2,2;2,0;1,n78,1,80,2,2,0
n8_n78,2;4,10;80,1;2,2;2,0;1,n78,2,80,2,2,0
n8_n78,2;4,10;100,1;2,2;2,0;1,n78,2,100,2,2,1
n8_n78,2;4,10;80,1;2,2;2,0;1,n8,1,10,1,2,0
n8_n78,2;4,10;100,1;2,2;2,0;1,n8,1,10,1,2,0
n20_n78,2;4,10;80,1;2,2;2,0;1,n78,1,80,2,2,0
n20_n78,2;4,10;80,1;2,2;2,0;1,n78,2,80,2,2,0
n20_n78,2;4,10;100,1;2,2;2,0;1,n78,2,100,2,2,1
n20_n78,2;4,10;80,1;2,2;2,0;1,n20,1,10,1,2,0
n20_n78,2;4,10;100,1;2,2;2,0;1,n20,1,10,1,2,0
n28_n78,2;4,10;80,1;2,2;2,0;1,n78,1,80,2,2,0
n28_n78,2;4,10;80,1;2,2;2,0;1,n78,2,80,2,2,0
n28_n78,2;4,30;100,1;2,2;2,0;1,n78,2,100,2,2,1
n28_n78,2;4,10;80,1;2,2;2,0;1,n28,1,10,1,2,0
n28_n78,2;4,30;100,1;2,2;2,0;1,n28,1,20,1,2,0
n78_n78,2;2,80;80,2;2,2;2,0;0,n78,1,50,2,2,0
n78_n78,2;2,80;80,2;2,2;2,0;0,n78,2,50,2,2,0
n78_n78,4;4,100;100,2;2,2;2,1;1,n78,2,100,2,2,1
1_n8,2,10,1,2,0,1_n8,1,10,1,2,0
1_n8,2,10,1,2,0,1_n8,1,10,1,2,0
1_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1_n28,2,10,1,2,0,1_n28,1,10,1,2,0
1_n28,2,30,1,2,0,1_n28,1,20,1,2,0
1_n78,4,80,2,2,1,1_n78,1,80,2,2,0
1_n78,4,80,2,2,1,1_n78,1,80,2,2,0
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
