DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
n28,2,30,1,2,0,n28,1,20,1,2,0
n78,4,80,2,2,0,n78,1,60,2,2,0
n78,4,80,2,2,0,n78,2,60,2,2,0
n78,4,100,2,2,1,n78,2,100,2,2,1
n28_n78,2;4,30;80,1;2,2;2,0;0,n78,1,60,2,2,0
n28_n78,2;4,30;80,1;2,2;2,0;0,n78,2,60,2,2,0
n28_n78,2;4,30;100,1;2,2;2,0;1,n78,2,100,2,2,1
n28_n78,2;4,30;80,1;2,2;2,0;0,n28,1,20,1,2,0
n28_n78,2;4,30;100,1;2,2;2,0;1,n28,1,20,1,2,0
1_n28,2,30,1,2,0,1_n28,1,20,1,2,0
1_n28,2,30,1,2,0,1_n28,1,20,1,2,0
1_n78,4,80,2,2,0,1_n78,1,60,2,2,0
1_n78,4,80,2,2,0,1_n78,1,60,2,2,0
1_n78,4,100,2,2,1,1_n78,1,100,2,2,1
3_n28,2,30,1,2,0,3_n28,1,20,1,2,0
3_n28,2,30,1,2,0,3_n28,1,20,1,2,0
3_n78,4,80,2,2,0,3_n78,1,60,2,2,0
3_n78,4,80,2,2,0,3_n78,1,60,2,2,0
3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
28_n78,4,80,2,2,0,28_n78,1,60,2,2,0
28_n78,4,100,2,2,1,28_n78,1,100,2,2,1
1-3_n28,2,30,1,2,0,3_n28,1,20,1,2,0
1-3_n28,2,30,1,2,0,3_n28,1,20,1,2,0
1-3_n78,4,80,2,2,0,3_n78,1,60,2,2,0
1-3_n78,4,80,2,2,0,3_n78,1,60,2,2,0
1-3_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-28_n78,4,80,2,2,0,28_n78,1,60,2,2,0
1-28_n78,4,80,2,2,0,28_n78,1,60,2,2,0
1-28_n78,4,100,2,2,1,28_n78,1,100,2,2,1
1-3_n28,2,30,1,2,0,1_n28,1,20,1,2,0
1-3_n28,2,30,1,2,0,1_n28,1,20,1,2,0
1-3_n78,4,80,2,2,0,1_n78,1,60,2,2,0
1-3_n78,4,80,2,2,0,1_n78,1,60,2,2,0
1-3_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-28_n78,4,80,2,2,0,1_n78,1,60,2,2,0
1-28_n78,4,80,2,2,0,1_n78,1,60,2,2,0
1-28_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1_n28_n78,2;4,30;80,1;2,2;2,0;0,1_n78,1,60,2,2,0
1_n28_n78,2;4,30;80,1;2,2;2,0;0,1_n78,1,60,2,2,0
1_n28_n78,2;4,30;100,1;2,2;2,0;1,1_n78,1,100,2,2,1
1_n28_n78,2;4,30;80,1;2,2;2,0;0,1_n28,1,20,1,2,0
1_n28_n78,2;4,30;80,1;2,2;2,0;0,1_n28,1,20,1,2,0
1_n28_n78,2;4,30;100,1;2,2;2,0;1,1_n28,1,20,1,2,0
3-28_n78,4,80,2,2,0,28_n78,1,60,2,2,0
3-28_n78,4,80,2,2,0,28_n78,1,60,2,2,0
3-28_n78,4,100,2,2,1,28_n78,1,100,2,2,1
3-28_n78,4,80,2,2,0,3_n78,1,60,2,2,0
3-28_n78,4,80,2,2,0,3_n78,1,60,2,2,0
3-28_n78,4,100,2,2,1,3_n78,1,100,2,2,1
3_n28_n78,2;4,30;80,1;2,2;2,0;0,3_n78,1,60,2,2,0
3_n28_n78,2;4,30;80,1;2,2;2,0;0,3_n78,1,60,2,2,0
3_n28_n78,2;4,30;100,1;2,2;2,0;1,3_n78,1,100,2,2,1
3_n28_n78,2;4,30;80,1;2,2;2,0;0,3_n28,1,20,1,2,0
3_n28_n78,2;4,30;80,1;2,2;2,0;0,3_n28,1,20,1,2,0
3_n28_n78,2;4,30;100,1;2,2;2,0;1,3_n28,1,20,1,2,0
1-3-28_n78,4,80,2,2,0,28_n78,1,60,2,2,0
1-3-28_n78,4,100,2,2,1,28_n78,1,100,2,2,1
1-3-28_n78,4,80,2,2,0,3_n78,1,60,2,2,0
1-3-28_n78,4,100,2,2,1,3_n78,1,100,2,2,1
1-3_n28_n78,2;4,30;80,1;2,2;2,0;0,3_n78,1,60,2,2,0
1-3_n28_n78,2;4,30;100,1;2,2;2,0;1,3_n78,1,100,2,2,1
1-3_n28_n78,2;4,30;80,1;2,2;2,0;0,3_n28,1,20,1,2,0
1-3_n28_n78,2;4,30;100,1;2,2;2,0;1,3_n28,1,20,1,2,0
1-3-28_n78,4,80,2,2,0,1_n78,1,60,2,2,0
1-3-28_n78,4,100,2,2,1,1_n78,1,100,2,2,1
1-3_n28_n78,2;4,30;80,1;2,2;2,0;0,1_n78,1,60,2,2,0
1-3_n28_n78,2;4,30;100,1;2,2;2,0;1,1_n78,1,100,2,2,1
1-3_n28_n78,2;4,30;80,1;2,2;2,0;0,1_n28,1,20,1,2,0
1-3_n28_n78,2;4,30;100,1;2,2;2,0;1,1_n28,1,20,1,2,0
